Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
Costa Rica,Hall and Sons,1725,1989,Colestad,"Miller, Dixon and Bowen",Williams-Roberts,Fusion,Operational,6643.532085,91266.04811,http://www.phelps.net/
Guernsey,"Johnson, Carr and Avery",1272,2011,Courtneymouth,Jordan PLC,Martinez PLC,Fusion,Under Construction,1751.811391,99109.4415,http://schroeder.com/
Dominica,"Mcneil, Williamson and Carlson",198,1978,Houseshire,Walker Inc,Duke-Prince,Nuclear,Planned,2410.58451,41393.12356,https://sweeney.com/
Angola,Long and Sons,104,2012,Barberborough,Wright Ltd,"Malone, Moore and Bryant",Nuclear,Under Construction,1343.213898,73246.76142,https://martinez.net/
Mongolia,Rodriguez PLC,1842,2023,Geraldbury,"White, Phillips and Vasquez","Wood, Woods and Morris",Fusion,Planned,8736.05213,10304.00689,https://russell-bauer.biz/
Austria,"Smith, Khan and Peterson",937,2000,Melissafort,Zhang-Edwards,Miller-Miller,Fusion,Operational,270.4155313,51097.22538,https://hooper.com/
Egypt,Jones-Jefferson,1166,1988,West Michaelbury,"Lane, Cruz and Smith",Perez-Smith,Nuclear,Under Construction,3615.301504,83017.34604,http://www.myers-davis.com/
Colombia,Fox Ltd,1060,2008,Haynesburgh,"Hayes, Wright and Jones","Ramsey, Briggs and French",Nuclear,Under Construction,7131.220507,96799.51361,https://www.simpson.com/
Syrian Arab Republic,Anderson Inc,1645,2006,New Lisa,"Baker, Zamora and Lee","Smith, Patrick and Harris",Nuclear,Under Construction,5091.26738,26566.57242,https://hernandez.biz/
Zambia,Alvarez PLC,941,1984,North Steven,Miller PLC,Meyers-Hall,Fusion,Under Construction,7836.16239,92361.52211,https://browning.com/
Marshall Islands,Martinez PLC,1298,1993,New Davidstad,Gomez PLC,Rose-Scott,Nuclear,Operational,9233.670762,66229.77507,http://fleming.com/
Argentina,Young Inc,1720,1976,New Elizabeth,Armstrong Inc,"Sims, Watkins and Alvarez",Nuclear,Under Construction,6509.863299,44809.56798,http://henderson.com/
Saint Kitts and Nevis,Pena-Gonzalez,852,1981,Coxfort,Peterson-Bell,Brooks-Brown,Fusion,Planned,2821.625885,11263.50833,https://jones-cunningham.com/
Norway,"Sims, Gallagher and Graves",1036,1990,Chelseafort,White LLC,"Johnson, Morrison and Quinn",Fusion,Operational,6505.955851,29811.43906,https://nunez.com/
France,Hill-Ray,734,2023,Porterbury,Norton PLC,"King, Williamson and Garcia",Nuclear,Operational,7802.163053,58545.0389,http://james-ayers.net/
Timor-Leste,Brown Inc,1764,2002,Watkinsbury,Marshall-May,James-Scott,Fusion,Operational,6105.888188,78909.53013,https://kaiser.biz/
Congo,Stevens-Jones,1844,1984,West Ericville,Dunlap-Rodriguez,Bennett PLC,Fusion,Operational,3521.011443,89790.2451,https://james.net/
Kuwait,"Williams, Rodriguez and Aguilar",1790,2013,North Leahbury,"Stephens, Williams and Weiss","Shaw, Cabrera and Nichols",Fusion,Operational,9699.05292,62846.98189,http://www.mora-sanders.net/
Central African Republic,Shaw Inc,653,2015,West Jessica,"Banks, Ramirez and Townsend",Watts Group,Fusion,Operational,5446.824727,52813.30548,http://anderson-frederick.com/
Holy See (Vatican City State),Clark Ltd,1305,1970,Oliverport,Campos-Fuller,Fitzgerald-Lewis,Nuclear,Planned,6615.822101,76917.32188,http://www.maxwell.com/
Ghana,"Scott, Lane and Clark",1285,2007,Brandonland,Ruiz and Sons,Lee-Lowery,Nuclear,Under Construction,7224.967903,19368.91277,https://www.bradford-boyd.com/
Iceland,Wallace-Charles,706,1973,West Nancystad,Stanley-Brown,"Nelson, Woods and Thompson",Nuclear,Planned,5324.320364,31172.5056,http://palmer.biz/
Saint Barthelemy,King Ltd,1302,1974,Ramseyshire,Dillon-Good,Walker-Reynolds,Nuclear,Operational,1196.141904,35389.84842,http://lucas.biz/
Niger,Hahn and Sons,483,2017,Port Karenberg,"Rivas, Beard and Hall",Cannon-Bryant,Nuclear,Operational,9005.93595,52322.78736,https://www.meyer.com/
Croatia,Nelson LLC,1338,2019,Waltersborough,Thompson-Long,Jones Inc,Nuclear,Operational,4367.629762,38549.88557,https://mcdonald.com/
Northern Mariana Islands,"Brown, Mason and Nash",1408,1988,New Leslie,Logan Group,"Snyder, Castro and Valdez",Nuclear,Planned,3473.508625,86308.6201,https://www.cruz.com/
Western Sahara,Barrett Inc,1780,1984,Santosfort,Brown Ltd,Everett-Davis,Nuclear,Operational,5232.099265,50584.52569,http://www.scott-randall.com/
Kazakhstan,Clark Group,1507,1974,New Anthony,Gonzales Inc,Hill PLC,Nuclear,Operational,9917.929963,91590.40575,http://www.walker.info/
Solomon Islands,Lewis-Young,672,1975,North Laurenchester,Ward LLC,Smith Group,Fusion,Under Construction,7296.394022,76585.94548,http://www.neal.net/
Pitcairn Islands,Nguyen-Herrera,1436,2000,Lake Angela,Beltran PLC,Snyder-Walker,Nuclear,Planned,4066.591581,87452.19484,https://www.figueroa.com/
Australia,Lopez-Hall,974,2021,East Joshua,"Stone, Woodard and Noble","Cruz, Sandoval and Weber",Nuclear,Operational,6794.626679,86103.10075,https://martin-walker.com/
Philippines,Myers PLC,788,2020,Medinastad,"Smith, Walker and Martinez",Oneill-Morgan,Nuclear,Operational,4971.675633,19884.60303,http://www.cortez-jacobson.com/
Slovakia (Slovak Republic),"Schneider, Mason and Obrien",1935,1986,West Christinashire,Martinez-Melendez,Ramirez Ltd,Nuclear,Operational,5899.247554,50774.04567,http://bowen-marshall.com/
Heard Island and McDonald Islands,"Banks, Kennedy and Baker",567,1998,Jesusstad,Dickson-Holland,"Johnson, Gill and White",Nuclear,Operational,814.5503822,81442.26192,http://merritt.com/
Cameroon,"Larson, Lopez and Gonzales",1607,2013,East Mark,Phillips Group,"Nguyen, Garcia and Berg",Fusion,Planned,7762.183686,97433.77629,https://serrano-baker.com/
Argentina,Terry-Bender,1156,1970,Roberthaven,Rodriguez PLC,"Chan, Mann and Levine",Nuclear,Planned,1740.63607,84636.85183,https://day.com/
Afghanistan,"Owens, Hernandez and Nelson",1871,1989,Acostamouth,Robinson PLC,Thomas-Jones,Fusion,Operational,2343.462102,46028.67332,http://robles.biz/
Japan,"Casey, Patterson and Becker",1160,1993,West Amy,"Fuller, Obrien and Collins",Farley PLC,Fusion,Operational,6969.671066,63904.37908,http://fox.info/
Heard Island and McDonald Islands,Schultz Ltd,1012,2020,Christopherland,Williams PLC,Douglas-Hunt,Fusion,Under Construction,9823.595715,82267.86341,http://www.clark.com/
Togo,Kelley-Smith,954,2022,Thompsonside,"Henson, Foster and Archer","Moore, Johnson and Thomas",Fusion,Planned,9082.972338,43993.53095,http://www.miller.com/
Malaysia,Gutierrez-Hamilton,1769,2023,Williamston,"Riley, Baker and Johnston","Norris, Harris and Lee",Fusion,Operational,7968.13945,80963.39731,http://www.montgomery.org/
Azerbaijan,Chambers-Lynch,671,1985,Davismouth,Russo Group,Glass-Mcclain,Nuclear,Planned,6961.276589,81940.56655,http://henry-stewart.net/
Brazil,"Brown, Clark and Peck",277,1970,Woodardland,Brown-Hall,"Smith, Beltran and Murray",Nuclear,Under Construction,499.57198,68424.95934,http://leach-adams.com/
Cyprus,"Mitchell, Villanueva and Fields",1908,1994,South Beth,Harrison-Boone,"Rodriguez, Anderson and Guzman",Fusion,Operational,9150.67891,19491.0023,https://www.tran-williams.com/
Zambia,"Myers, Atkins and Wolfe",991,2019,Bradleyfort,Cummings-Young,Mccarthy Group,Fusion,Operational,2408.080364,45857.41272,http://stewart.info/
French Southern Territories,Gross-White,1126,2017,Turnertown,Joseph LLC,Morris-Harrison,Fusion,Operational,8803.161907,29679.67777,https://www.jackson.net/
Gibraltar,Pham-Baker,541,1996,Lake Carolmouth,"Kelly, Daniel and May",James-Camacho,Fusion,Under Construction,3340.669667,62650.09066,https://jackson-hernandez.net/
Angola,Brown Group,1341,1995,Jenniferfort,Henry-Miles,"Black, Gray and Sparks",Fusion,Under Construction,4455.058266,71534.93374,http://travis-knight.net/
Svalbard & Jan Mayen Islands,Campos-Glenn,1326,2020,North Melissa,Walker-Kaufman,Hobbs LLC,Nuclear,Operational,7631.548831,59189.09656,http://hawkins-phillips.com/
Haiti,Lewis-Rivas,606,2020,Lake Christopher,Mcknight LLC,Benjamin-Gonzalez,Nuclear,Operational,5227.731903,27995.44139,http://www.miles-lawrence.info/
North Macedonia,Hart-Carlson,240,1975,Feliciatown,Fitzgerald and Sons,West Group,Fusion,Under Construction,8473.657142,36790.21369,https://www.gutierrez-whitehead.org/
Guinea,"Odom, Gonzales and Baker",1749,2018,Chavezchester,Silva Group,"Wallace, Solis and Glover",Nuclear,Planned,748.4396808,35825.86579,https://www.barnes.com/
Cuba,Brown-Brown,272,1992,Matthewhaven,"Garrison, Cardenas and Hernandez",Smith Group,Nuclear,Planned,5819.594222,54415.48604,https://stanley.net/
Sri Lanka,Rodriguez-Madden,1354,2000,Lake Laura,Waters LLC,Stone Inc,Nuclear,Under Construction,9217.493456,75131.365,http://www.wright-lopez.com/
Lithuania,Garcia Inc,1642,2023,Crawfordtown,"Young, Rios and Spence",Johnson Group,Nuclear,Under Construction,4119.187251,68170.95427,https://www.kelley.info/
Lao People's Democratic Republic,Jackson-Duncan,564,2005,Fisherland,Carrillo-Guerra,Tran LLC,Fusion,Under Construction,4809.11234,95434.35585,http://weber.com/
Mauritius,Gill-Johnson,1455,2020,Coleville,"Nguyen, Faulkner and Wood","Garcia, Li and Yates",Nuclear,Under Construction,8263.583792,95156.41093,https://www.mathews.net/
Swaziland,Bridges Inc,465,2018,Lynchfort,Velazquez Inc,Anderson-Gates,Nuclear,Planned,2367.798278,46931.32106,http://www.pena-barker.info/
Samoa,"Fischer, Saunders and Sanchez",577,2014,West Danielberg,Rivera Inc,Martin-Flowers,Nuclear,Operational,4082.32415,11624.40959,https://martinez.com/
Madagascar,Stout-Conway,1957,2013,South Amy,Harris-Wolf,"Davis, Stevens and Pineda",Fusion,Planned,9482.745069,11811.14233,https://www.russell.org/
Papua New Guinea,Richardson-Smith,1535,2004,New Zachary,Lee-Roach,"Nelson, Martinez and Williams",Nuclear,Under Construction,5508.29291,27649.58208,https://www.mack-nelson.com/
Nauru,"Manning, Harmon and Dominguez",1709,1992,Kimberlyton,"King, Sanchez and Ramirez","Rivera, Jones and Anderson",Nuclear,Under Construction,3476.407365,17978.65087,http://www.murphy-ryan.info/
Mali,"Mccarthy, Johnson and Gray",1001,1992,Valerieview,Higgins and Sons,"Mccoy, Reese and Brown",Fusion,Under Construction,8835.766127,40237.21887,http://www.marks.com/
Timor-Leste,Dunn LLC,1250,2013,Johnsonmouth,Webb-Lane,Wells-Phillips,Fusion,Operational,8718.834032,25223.9927,http://www.williams.info/
Senegal,Rhodes-Lopez,1155,2004,Vanessaville,Becker LLC,Williams Inc,Nuclear,Operational,9934.347349,18123.38798,https://www.noble.com/
Uzbekistan,Sutton PLC,1828,2019,East Kimberly,Fuller and Sons,White LLC,Nuclear,Operational,2214.584089,90710.35766,https://meza.com/
Canada,"Le, Bennett and Daniels",1051,2014,Maciasport,Dunn-Walker,"Dickerson, Ramirez and Jimenez",Fusion,Planned,5132.620344,61589.67344,https://www.murray-richardson.com/
Netherlands Antilles,"Waters, Gomez and Johnston",1548,1984,Lake Reginald,Hill Group,Jones-Macdonald,Fusion,Planned,1317.0904,53586.05416,https://estrada.com/
Thailand,Foley Ltd,846,2019,Suzannetown,Donaldson-Ingram,"Pope, Cruz and Carter",Nuclear,Under Construction,7778.958731,50264.42063,https://www.webb-bush.com/
Ghana,Kent Group,1399,1997,Samuelview,"Sullivan, Williams and Cox",Moore-Arnold,Nuclear,Under Construction,2105.957958,85622.82223,http://www.moran.biz/
Bahamas,Welch and Sons,1490,1996,Lake Cynthia,"Robinson, Avila and Lara",Jackson and Sons,Nuclear,Planned,1513.05866,20276.51724,http://gonzalez.com/
Canada,Thompson-Williams,868,1989,West Ruth,Shah-Gay,"Rogers, Shaffer and Nguyen",Nuclear,Operational,3413.754061,70827.31937,http://cain.org/
Thailand,Thompson-Fleming,1124,2000,Alvarezfort,Campos-Christian,Gutierrez-Richardson,Fusion,Under Construction,3296.684042,81559.12429,http://hernandez-williams.biz/
San Marino,Richards-Davies,581,2009,Williamfurt,"Miller, Mendoza and Mcintosh","King, Bennett and Butler",Fusion,Under Construction,6371.605431,11927.8875,https://hernandez.com/
Tunisia,Lozano-Stewart,897,2012,New Laurenmouth,Johnson LLC,Bradley LLC,Fusion,Operational,2235.62221,56513.79119,http://www.davis-gilbert.net/
Gabon,"Wood, Russo and Holland",1297,1986,West Crystalbury,Matthews-Miller,Cameron LLC,Nuclear,Under Construction,6848.369108,52486.54924,https://www.harding.info/
Cote d'Ivoire,"Kennedy, Miller and Vega",600,2023,Morenoberg,"Smith, Moore and Watkins",Jones Ltd,Fusion,Planned,1570.172441,32525.24482,https://www.thomas.com/
Ireland,Cervantes Group,1279,2009,North Loganside,"Charles, Roach and Meyer",Reynolds-Stout,Fusion,Planned,7652.757248,78594.12421,https://www.bush-newton.com/
Burundi,"Young, Willis and Stephens",656,1992,Port Christopherport,Norton Ltd,"Cardenas, Steele and Moore",Fusion,Under Construction,7071.002145,81604.18332,https://kennedy.com/
Brazil,Gonzalez-Bolton,1112,2000,Duranbury,"Pacheco, Benton and Hernandez",Harris Ltd,Fusion,Operational,5652.448741,56508.19546,https://www.newman.com/
Maldives,Brooks-Turner,452,1993,Adamfort,"Johnson, Donovan and Williams",Moore Group,Nuclear,Planned,681.3333352,84400.14643,http://www.pittman.org/
British Virgin Islands,"Pratt, Foley and Gutierrez",1556,1998,Lake Marie,"Alvarez, Alexander and Bruce","Kelley, Wilson and Allen",Nuclear,Operational,9570.565847,14269.31981,http://vance.com/
Lao People's Democratic Republic,Jones Group,1016,1975,Lake Danielle,Davis LLC,Henderson Ltd,Nuclear,Planned,9239.343281,39063.90118,https://castillo.info/
Antigua and Barbuda,"Roman, Lopez and Hicks",974,2017,Galvanview,Oliver-Stevens,Patton-Simon,Fusion,Planned,1715.453174,92826.85916,http://salazar.info/
Bermuda,Case and Sons,1266,2012,Hugheshaven,Massey-Brooks,"Preston, Murray and Reynolds",Fusion,Planned,3093.846826,90862.05644,https://www.nguyen.com/
Antarctica (the territory South of 60 deg S),Ramirez-Davis,424,1996,Christopherborough,Mcintosh Ltd,Thomas-Dunn,Nuclear,Operational,1720.418264,58275.28301,http://www.walton.com/
Portugal,Young-Jefferson,519,2013,South Joannfort,"Stevens, Rogers and Fuentes","Williams, Young and Boone",Nuclear,Planned,7898.21417,28667.56271,https://garcia.com/
Luxembourg,Mccoy Inc,1168,1997,Port Staceybury,Johnson LLC,Golden-Evans,Nuclear,Planned,2374.039134,72123.31192,https://www.watts-smith.com/
Micronesia,Perez PLC,1667,1977,Annafort,Brandt-Bailey,Joseph LLC,Fusion,Planned,3825.972504,67890.58311,https://www.martin.com/
Netherlands Antilles,Nielsen-Phillips,1523,2020,Lake Gilbert,"Wise, Smith and Turner",Brown and Sons,Fusion,Planned,2445.120233,67891.87403,http://blake.info/
Malawi,Hall Inc,652,1989,Lake Williamborough,"Espinoza, Ruiz and Vargas",Benitez Ltd,Nuclear,Under Construction,9503.957761,26978.44161,http://sweeney-mejia.com/
Pakistan,"Martin, Pierce and Cantu",1300,1998,South Scottchester,"Robinson, Yates and Alexander",Cox-Garcia,Fusion,Under Construction,5893.330584,61614.64471,http://charles.com/
Ghana,Merritt Group,374,2010,Stevensburgh,Joseph-Johnson,Moyer and Sons,Fusion,Operational,643.4620987,85200.99637,http://baldwin.com/
Kenya,Harris PLC,1217,1971,Lake Shannon,"Collins, Berger and Brown","Hutchinson, Rose and Andersen",Nuclear,Operational,1256.316692,93902.9751,http://www.king.org/
Kenya,Elliott LLC,1648,2013,Burkeberg,Grimes-Mitchell,Miller-Conrad,Nuclear,Operational,3805.033307,56385.54073,https://harvey.com/
Austria,Sweeney and Sons,639,1997,Rhondafurt,"Brown, Lindsey and Harris",Parker-Hernandez,Nuclear,Planned,5247.536768,80354.96836,https://carter.com/
Senegal,Gallegos PLC,1941,2023,Port Michael,"Kelly, Everett and Morales",White PLC,Nuclear,Planned,5787.595894,89264.25612,http://www.hernandez-beck.com/
Niue,Stephens-Knight,1162,1997,North Juliefurt,"Jensen, Vargas and Freeman",Ortiz Inc,Fusion,Operational,1575.609192,93414.27327,http://miles.com/
Montserrat,Guzman and Sons,756,2003,New James,Villanueva-Beasley,Orr-Hernandez,Nuclear,Operational,5287.852687,22386.55528,https://www.baker.com/
Saint Helena,Cole-Garcia,268,2014,Williamberg,Brown-Patterson,Price-Clark,Fusion,Planned,9816.1935,76038.09475,https://gonzales.com/
Vanuatu,"Wyatt, Parker and Stanley",532,2010,South Lawrence,Smith Inc,Rush-Lopez,Fusion,Operational,7219.444154,68220.11362,https://www.martin.com/
Russian Federation,King-Hansen,1867,1988,Danielland,"Murphy, Torres and Stevens",Harvey Group,Nuclear,Operational,4816.0684,73029.48792,https://johnson-burgess.net/
Cambodia,Ramos-Barrett,752,1974,Fieldschester,Jimenez LLC,Price Group,Nuclear,Operational,4364.656844,51538.83287,https://www.weber.com/
Kiribati,"Ortiz, Espinoza and Johnson",443,1976,West Monica,"Miller, Gallegos and Vaughn","Johnson, Huynh and Lee",Nuclear,Under Construction,3616.14806,22793.65087,http://www.hall-carter.com/
Benin,"Lewis, Carter and Cooper",1933,2021,New Meganfort,Hayes PLC,"Johnson, Munoz and Swanson",Fusion,Operational,141.2254762,89476.83255,https://garcia.com/
Nicaragua,Brown-Carter,498,1973,Lake Kimberly,Mcpherson Inc,Buck-Schroeder,Fusion,Under Construction,419.0863155,17844.82954,https://www.cruz.com/
Netherlands,"Alexander, Wilcox and Flores",1943,2017,West Kathrynville,"Strong, Johnston and Kent",Sellers-Williams,Fusion,Planned,7157.2645,97956.15767,http://conway-williams.biz/
Djibouti,Holland Ltd,935,1985,Cartermouth,Carpenter PLC,Ferrell Group,Nuclear,Under Construction,7673.877095,31491.51957,https://gray.org/
Niger,"Anderson, Williams and Fox",990,1976,Nicholaschester,Horton-Mcneil,Cummings and Sons,Nuclear,Under Construction,8121.681329,66844.09197,https://www.riggs-sheppard.com/
Guatemala,"Gordon, Griffith and Bradley",819,2002,Smithborough,Wood LLC,Gardner-Morales,Fusion,Under Construction,6111.093357,29770.68794,https://www.coleman.com/
Greenland,Tate-Moyer,268,2020,New Latoyaview,Stewart LLC,Eaton Inc,Nuclear,Under Construction,6457.70569,66163.68699,https://rogers-dominguez.com/
Tunisia,Barnes-Figueroa,1116,1993,Jonesview,Hernandez-Graham,Taylor-Burton,Fusion,Operational,144.0860542,37197.42669,https://www.booth-robinson.com/
Senegal,"Mclaughlin, Jensen and Lee",608,1976,Kirkburgh,Morrow and Sons,Bonilla-Woods,Fusion,Planned,6443.447596,43439.83984,http://brown-owens.net/
Togo,Cole LLC,1895,1975,Christophermouth,Gallegos Group,Roberts-Kim,Nuclear,Under Construction,2145.344964,95877.95504,https://www.dominguez-glover.com/
Pakistan,Chambers-Patton,352,1990,Donaldport,Parks-Berry,Doyle PLC,Nuclear,Operational,8585.594907,11154.23769,https://www.bell.com/
Svalbard & Jan Mayen Islands,Carter LLC,1488,1972,North Timothy,Green-Fowler,Ellis Inc,Fusion,Under Construction,3092.849734,11317.26884,http://curtis.com/
Cyprus,Davis-Miller,1679,2021,Port Janet,Acevedo-Anderson,"Stevens, Chandler and Green",Fusion,Operational,3042.19745,37570.38508,https://barnett.info/
Iceland,Acevedo Inc,1884,2008,Scotttown,Calderon Inc,Patterson-Giles,Fusion,Operational,3235.571054,51936.88021,https://www.hicks.com/
United Kingdom,Winters-Bennett,958,2000,Thomasfurt,"Anderson, Anderson and Keller",Smith-Fritz,Nuclear,Operational,4746.901777,31788.37613,http://stark.com/
Bolivia,Martinez-Harris,1251,1976,East Jennifer,Bennett Group,Hill-Robbins,Fusion,Planned,6853.922269,17423.79007,http://rowland.com/
French Southern Territories,Collins LLC,206,2021,Aprilmouth,Lara PLC,"Bell, Pearson and Riddle",Nuclear,Operational,1113.364631,45441.82263,https://www.saunders.com/
Central African Republic,Barry-Davis,1722,1983,Patriciahaven,"Gonzalez, Higgins and Howe",Herrera-Dominguez,Fusion,Under Construction,5262.584872,20977.55818,https://harris.com/
Japan,"Burke, Robinson and Cooper",1072,2014,Smithstad,Johnson-Berger,Beltran Inc,Fusion,Operational,643.6372249,64322.10894,https://thomas-alexander.net/
Tajikistan,Potts-Orozco,734,2006,Normanmouth,Gomez-Bruce,Knapp-Logan,Nuclear,Planned,1204.361089,51027.36407,https://www.briggs-perry.net/
Bhutan,Woodard LLC,249,1977,North Ryanberg,Dunlap-Williams,Williams-Smith,Nuclear,Planned,4572.650232,16572.14171,https://lambert.info/
Montenegro,Downs-Schultz,1022,1989,West Caleb,Edwards LLC,Hall LLC,Nuclear,Operational,5234.587056,41135.58488,http://www.woods.com/
Iceland,Nguyen-Clarke,975,1987,Johnton,"Morales, Kirk and Faulkner",Castillo and Sons,Fusion,Under Construction,6654.903599,25099.03665,http://www.carter-johnson.info/
Albania,"Hawkins, Wright and Jimenez",560,1990,Gonzalezport,"Davis, Johnson and Williams",Randall-Chan,Fusion,Under Construction,6117.734085,67970.86665,http://rivers.com/
Norfolk Island,Mcdonald LLC,1362,2011,Zunigaborough,"Reid, Knight and Michael",Salazar and Sons,Fusion,Planned,2547.867129,92728.48311,http://www.guzman.net/
Turkey,"Cox, Ward and Sutton",810,2020,East Zacharystad,Lopez Ltd,Houston-Garcia,Fusion,Operational,5962.726385,14506.68209,https://www.hill.net/
Burundi,"Moody, Wilson and Davis",298,1983,North Kurtfort,"Patel, Gardner and Smith",Owens PLC,Fusion,Planned,298.1849896,83229.42447,http://www.guzman.com/
Jordan,French-Freeman,1811,1974,Garciafurt,Crawford-Smith,Davis Inc,Nuclear,Planned,2977.661387,64639.551,https://parrish.com/
Mexico,Holmes LLC,683,1988,Port Michaeltown,Thompson-Coleman,Wade-Rodriguez,Fusion,Under Construction,6134.121059,36105.90758,http://www.holland.info/
Togo,Harris-Elliott,1449,2018,Katherinetown,"Smith, Pope and Carter",Mckenzie-Perez,Fusion,Operational,2194.052626,98101.20175,http://hunter.com/
Ukraine,"Brown, Gonzalez and Montgomery",365,1984,New Shannon,Williams Ltd,King-Wheeler,Nuclear,Planned,5797.583367,83915.90927,http://taylor.com/
Belgium,Drake Group,201,2020,Jefferyview,Smith-Hancock,Johnson and Sons,Fusion,Operational,9604.495286,50565.11376,http://massey.info/
Bhutan,"Miles, Miles and Matthews",976,1980,Perkinsside,"Bird, Hayes and Andrews","Yu, Rojas and Taylor",Fusion,Under Construction,4883.565675,81300.55084,http://www.tran.com/
North Macedonia,Wilkerson PLC,1156,2011,Madelineport,Hawkins Ltd,"Moore, Buck and Johnson",Nuclear,Planned,2068.551537,57753.90732,https://www.rivera.com/
Japan,"Cole, Delgado and Park",345,2022,West Larry,Phelps-Sims,"Perry, Allen and Bender",Fusion,Under Construction,150.3578858,95313.82129,http://www.jones-raymond.org/
Saint Kitts and Nevis,"Gutierrez, Aguilar and Benjamin",779,2017,Michaeltown,Schneider-Oconnor,Leblanc-Pope,Fusion,Under Construction,9486.205908,66204.83994,http://www.crawford-herrera.org/
Cocos (Keeling) Islands,"Black, Mckinney and Patrick",1855,1998,East Richard,Miller-Kirby,"Williamson, Schmitt and Ray",Fusion,Under Construction,9118.214162,46763.31279,https://gilbert.com/
Estonia,Walker Inc,373,1980,Mcknightfort,Shelton Inc,Ward Inc,Fusion,Under Construction,6367.849416,48433.63382,https://bailey.com/
Qatar,Davis-Moore,825,2013,Joeview,"Nguyen, Mclaughlin and Morales",Murray Ltd,Fusion,Operational,9430.767044,46278.93413,http://hale-harrison.com/
Niger,White Group,1682,1983,New Michael,Reyes-Carey,Henson Inc,Fusion,Planned,9163.261977,50664.4224,https://harper.org/
Thailand,Smith-Jones,1417,2013,Christinaborough,Cox Group,Reed Inc,Nuclear,Under Construction,7655.343435,59664.86154,https://todd.biz/
Wallis and Futuna,Harris LLC,1671,1995,East Sheryltown,Estrada-Hill,Wright Ltd,Fusion,Operational,783.8481025,58995.38772,http://fisher.info/
Ukraine,Reed Ltd,1681,2016,West Alexafort,Harris-French,"Brown, Moore and Lopez",Nuclear,Operational,5182.282257,74322.55794,https://www.matthews-turner.com/
Turks and Caicos Islands,Good-Conrad,1600,2023,Lake Oscar,"Meyer, Nelson and Carson",Young Ltd,Fusion,Operational,5148.912302,83440.29737,https://walker.net/
Rwanda,"Alvarez, Jackson and Hernandez",1419,1982,East Autumnview,"Johnston, Best and Martinez",Bishop-Goodwin,Fusion,Operational,535.178823,51732.56024,http://mccarthy.com/
Turkey,Perry Inc,1843,1998,North Alexandria,Haney-Lewis,Stone LLC,Nuclear,Under Construction,4888.249791,10202.23869,http://fisher.com/
Tanzania,"Alexander, Dickson and Murray",633,2008,East Josephview,"Wagner, Stokes and Cox",Richard-Barber,Nuclear,Operational,3022.270783,42320.15545,https://www.butler.com/
British Indian Ocean Territory (Chagos Archipelago),"Gray, Fuller and Hopkins",1766,2016,North Ethanbury,Brooks-Norman,Clarke Group,Nuclear,Under Construction,4427.440327,58777.61135,http://www.schwartz-kelly.com/
Saint Martin,Ellison-Bell,961,1998,Deckerfurt,Tucker Ltd,Shaw-Flores,Fusion,Planned,1806.48274,89395.54557,https://www.leonard.biz/
British Virgin Islands,"Chavez, Phillips and Wright",188,1977,Bowmanfurt,Wong and Sons,"Sanchez, Peterson and Wolf",Nuclear,Planned,7992.935662,32118.47873,https://www.bell.com/
Faroe Islands,"Scott, Robinson and Pacheco",840,1971,Michellemouth,Smith Ltd,"Bowman, Ramirez and Patterson",Fusion,Under Construction,2573.089315,17596.49755,https://www.ponce.net/
San Marino,Robinson-Cole,1734,2008,Port Colinberg,Ramirez Ltd,"Anderson, Guerrero and Marshall",Fusion,Operational,276.3143094,56639.9415,https://nunez.com/
Heard Island and McDonald Islands,Palmer Inc,162,1995,Port Calebfort,Curtis PLC,"Hogan, Grant and Fowler",Nuclear,Planned,5784.694705,65305.20667,https://www.norton.com/
Fiji,Schwartz Group,1647,1996,Lisaton,"Ryan, Suarez and Reyes",Dunn-Duncan,Nuclear,Planned,4688.897661,82916.86454,http://herrera-bullock.net/
Tanzania,Brooks-Henderson,2000,1991,East Valeriemouth,Clarke Inc,"Webster, Lee and Knight",Nuclear,Under Construction,3923.66905,50935.69462,http://hall-zimmerman.com/
Vietnam,Johnston Inc,1608,1975,North Connor,"Gilbert, Hudson and Jones",Johnson-Lee,Nuclear,Planned,2262.456985,56339.40678,https://carrillo-phillips.biz/
Finland,Barton Group,186,1991,South Douglasview,"Jennings, Johnson and Scott","Gates, Franco and Flowers",Nuclear,Planned,2350.51873,96077.21176,http://www.lambert.biz/
Estonia,"Cruz, Miller and Perez",545,1976,Lake Timothyborough,Ross-Robertson,White LLC,Nuclear,Planned,4719.579989,34713.5402,https://wells.info/
Grenada,"White, Parker and Hernandez",673,2018,Stevensonshire,"Gillespie, Sullivan and Cain","Woodard, Watkins and Shannon",Nuclear,Under Construction,2144.234915,57999.96732,https://roberts-young.com/
Samoa,"Rivera, Palmer and Jones",1659,1992,Wilsonhaven,"Powell, Campbell and Williams",Flores-Montes,Nuclear,Under Construction,868.0752828,29095.92344,http://harris.biz/
Estonia,Gordon-Crane,1160,1998,North Benjamin,Anderson Ltd,"Garcia, Baker and Thompson",Fusion,Under Construction,7591.269149,96237.56922,https://www.morgan-mendoza.com/
Malaysia,"Leblanc, Hobbs and Bauer",271,1987,Port Kevin,Fields LLC,Barnett Ltd,Fusion,Under Construction,2183.84205,88876.18337,http://www.bryant.com/
